City,Bill
Mumbai,15400
Mumbai,6700
Mumbai,16300
Mumbai,2100
Mumbai,4600
Mumbai,6800
Mumbai,8600
Mumbai,5500
Mumbai,6900
Mumbai,6400
Mumbai,13300
Mumbai,4200
Mumbai,200
Mumbai,8000
Mumbai,19900
Mumbai,1200
Mumbai,13600
Mumbai,13100
Mumbai,2300
Mumbai,600
Mumbai,11400
Mumbai,11300
Mumbai,1900
Mumbai,1300
Mumbai,3300
Mumbai,3500
Mumbai,1000
Mumbai,4200
Mumbai,2300
Mumbai,6700
Mumbai,4900
Mumbai,6800
Mumbai,2900
Mumbai,3700
Mumbai,2500
Mumbai,900
Mumbai,1000
Mumbai,7000
Mumbai,8400
Mumbai,5500
Mumbai,6700
Mumbai,2800
Mumbai,3900
Mumbai,5200
Mumbai,1700
Mumbai,9400
Mumbai,7000
Mumbai,1100
Mumbai,11100
Mumbai,4300
Delhi,3600
Delhi,11400
Delhi,6500
Delhi,8300
Delhi,5500
Delhi,6700
Delhi,1500
Delhi,9800
Delhi,3600
Delhi,2600
Delhi,16300
Delhi,9400
Delhi,4000
Delhi,8800
Delhi,7800
Delhi,9500
Delhi,6600
Delhi,1800
Delhi,6200
Delhi,12100
Delhi,3500
Delhi,16100
Delhi,2600
Delhi,7400
Delhi,2900
Delhi,8100
Delhi,6700
Delhi,1800
Delhi,5700
Delhi,7900
Delhi,2200
Delhi,10700
Delhi,4700
Delhi,15000
Delhi,4600
Delhi,2800
Delhi,1700
Delhi,3500
Delhi,3300
Delhi,16800
Delhi,1600
Delhi,9000
Delhi,2000
Delhi,1100
Delhi,9500
Delhi,6300
Delhi,2000
Delhi,8100
Delhi,2500
Delhi,2800
Bangalore,3800
Bangalore,1300
Bangalore,7800
Bangalore,1000
Bangalore,1800
Bangalore,5200
Bangalore,1500
Bangalore,6100
Bangalore,7300
Bangalore,4400
Bangalore,12200
Bangalore,3700
Bangalore,4100
Bangalore,10600
Bangalore,8000
Bangalore,4900
Bangalore,2700
Bangalore,6200
Bangalore,4600
Bangalore,9400
Bangalore,6300
Bangalore,2200
Bangalore,3600
Bangalore,19800
Bangalore,4800
Bangalore,3400
Bangalore,7100
Bangalore,5600
Bangalore,6000
Bangalore,1300
Bangalore,3300
Bangalore,3200
Bangalore,6800
Bangalore,1700
Bangalore,8700
Bangalore,6800
Bangalore,8100
Bangalore,4500
Bangalore,3900
Bangalore,10900
Bangalore,10500
Bangalore,7300
Bangalore,3100
Bangalore,8200
Bangalore,8200
Bangalore,1000
Bangalore,7800
Bangalore,3000
Bangalore,4800
Bangalore,600
Hyderabad,5800
Hyderabad,3900
Hyderabad,5400
Hyderabad,17000
Hyderabad,6700
Hyderabad,7200
Hyderabad,4600
Hyderabad,18000
Hyderabad,2800
Hyderabad,13600
Hyderabad,1900
Hyderabad,11300
Hyderabad,2900
Hyderabad,3400
Hyderabad,20300
Hyderabad,1900
Hyderabad,5400
Hyderabad,7600
Hyderabad,3600
Hyderabad,6600
Hyderabad,4600
Hyderabad,2800
Hyderabad,1400
Hyderabad,1400
Hyderabad,8200
Hyderabad,4400
Hyderabad,4500
Hyderabad,10400
Hyderabad,3700
Hyderabad,5400
Hyderabad,4800
Hyderabad,4600
Hyderabad,6100
Hyderabad,2300
Hyderabad,1700
Hyderabad,3900
Hyderabad,2700
Hyderabad,9600
Hyderabad,8600
Hyderabad,1700
Hyderabad,800
Hyderabad,7000
Hyderabad,10400
Hyderabad,3400
Hyderabad,2800
Hyderabad,3500
Hyderabad,4000
Hyderabad,3700
Hyderabad,5600
Hyderabad,2600
Ahmedabad,1200
Ahmedabad,2900
Ahmedabad,3200
Ahmedabad,3400
Ahmedabad,7800
Ahmedabad,9500
Ahmedabad,6400
Ahmedabad,4900
Ahmedabad,5600
Ahmedabad,4000
Ahmedabad,1800
Ahmedabad,9000
Ahmedabad,4100
Ahmedabad,7900
Ahmedabad,1100
Ahmedabad,900
Ahmedabad,6700
Ahmedabad,5200
Ahmedabad,900
Ahmedabad,14500
Ahmedabad,5700
Ahmedabad,3800
Ahmedabad,1000
Ahmedabad,9100
Ahmedabad,10800
Ahmedabad,3000
Ahmedabad,1800
Ahmedabad,800
Ahmedabad,6500
Ahmedabad,8900
Ahmedabad,5200
Ahmedabad,1200
Ahmedabad,8800
Ahmedabad,15200
Ahmedabad,8100
Ahmedabad,13500
Ahmedabad,15100
Ahmedabad,9500
Ahmedabad,7600
Ahmedabad,4500
Ahmedabad,5400
Ahmedabad,3100
Ahmedabad,6100
Ahmedabad,9200
Ahmedabad,6200
Ahmedabad,8900
