date,is_weekend,miles
2022-01-01,False,27
2022-01-02,True,5
2022-01-03,False,36
2022-01-04,False,32
2022-01-05,False,23
2022-01-06,False,40
2022-01-07,False,22
2022-01-08,False,36
2022-01-09,True,3
2022-01-10,False,36
2022-01-11,False,19
2022-01-12,False,30
2022-01-13,False,18
2022-01-14,False,27
2022-01-15,False,34
2022-01-16,True,8
2022-01-17,False,26
2022-01-18,False,37
2022-01-19,False,87
2022-01-20,False,34
2022-01-21,False,19
2022-01-22,False,18
2022-01-23,True,14
2022-01-24,False,20
2022-01-25,False,33
2022-01-26,False,21
2022-01-27,False,32
2022-01-28,False,23
2022-01-29,False,29
2022-01-30,True,9
2022-01-31,False,24
2022-02-01,False,38
2022-02-02,False,24
2022-02-03,False,37
2022-02-04,False,24
2022-02-05,False,20
2022-02-06,True,0
2022-02-07,False,23
2022-02-08,False,23
2022-02-09,False,31
2022-02-10,False,27
2022-02-11,False,22
2022-02-12,False,40
2022-02-13,True,3
2022-02-14,False,39
2022-02-15,False,35
2022-02-16,False,21
2022-02-17,False,31
2022-02-18,False,37
2022-02-19,False,26
2022-02-20,True,9
2022-02-21,False,31
2022-02-22,False,23
2022-02-23,False,40
2022-02-24,False,34
2022-02-25,False,32
2022-02-26,False,41
2022-02-27,True,11
2022-02-28,False,19
2022-03-01,False,23
2022-03-02,False,24
2022-03-03,False,30
2022-03-04,False,28
2022-03-05,False,40
2022-03-06,True,4
2022-03-07,False,26
2022-03-08,False,25
2022-03-09,False,31
2022-03-10,False,23
2022-03-11,False,33
2022-03-12,False,28
2022-03-13,True,4
2022-03-14,False,28
2022-03-15,False,36
2022-03-16,False,21
2022-03-17,False,32
2022-03-18,False,36
2022-03-19,False,23
2022-03-20,True,7
2022-03-21,False,35
2022-03-22,False,23
2022-03-23,False,21
2022-03-24,False,23
2022-03-25,False,26
2022-03-26,False,22
2022-03-27,True,14
2022-03-28,False,41
2022-03-29,False,19
2022-03-30,False,36
2022-03-31,False,19
2022-04-01,False,32
2022-04-02,False,35
2022-04-03,True,12
2022-04-04,False,39
2022-04-05,False,29
2022-04-06,False,32
2022-04-07,False,34
2022-04-08,False,38
2022-04-09,False,19
2022-04-10,True,4
2022-04-11,False,30
2022-04-12,False,40
2022-04-13,False,32
2022-04-14,False,40
2022-04-15,False,18
2022-04-16,False,20
2022-04-17,True,14
2022-04-18,False,87
2022-04-19,False,32
2022-04-20,False,36
2022-04-21,False,29
2022-04-22,False,38
2022-04-23,False,27
2022-04-24,True,5
2022-04-25,False,18
2022-04-26,False,30
2022-04-27,False,40
2022-04-28,False,27
2022-04-29,False,36
2022-04-30,False,22
2022-05-01,True,5
2022-05-02,False,21
2022-05-03,False,34
2022-05-04,False,30
2022-05-05,False,23
2022-05-06,False,38
2022-05-07,False,31
2022-05-08,True,0
2022-05-09,False,31
2022-05-10,False,36
2022-05-11,False,37
2022-05-12,False,35
2022-05-13,False,25
2022-05-14,False,35
2022-05-15,True,7
2022-05-16,False,21
2022-05-17,False,28
2022-05-18,False,38
2022-05-19,False,28
2022-05-20,False,19
2022-05-21,False,41
2022-05-22,True,10
2022-05-23,False,34
2022-05-24,False,28
2022-05-25,False,36
2022-05-26,False,41
2022-05-27,False,38
2022-05-28,False,34
2022-05-29,True,3
2022-05-30,False,24
2022-05-31,False,27
2022-06-01,False,20
2022-06-02,False,38
2022-06-03,False,30
2022-06-04,False,27
2022-06-05,True,4
2022-06-06,False,22
2022-06-07,False,22
2022-06-08,False,27
2022-06-09,False,28
2022-06-10,False,30
2022-06-11,False,26
2022-06-12,True,1
2022-06-13,False,23
2022-06-14,False,25
2022-06-15,False,18
2022-06-16,False,19
2022-06-17,False,21
2022-06-18,False,36
2022-06-19,True,2
2022-06-20,False,38
